Variation,g1,g2,g3,l1,l2,lw,patch_r,slot_length,sw,dB(S(1 1)): Freq(6.6GHz),max(dB(S(1 1))): Freq(2.5GHz:6.3GHz),max(dB(S(1 1))): Freq(6.8GHz:12GHz),Cost
128,9.7959184mm,3.1306122mm,5.9428571mm,12.419048mm,2.2585034mm,4.5952381mm,4.0816327mm,20.680272mm,1.3945578mm,-10.4306,3.2164262,-6.6958068,197.36063
129,23.401361mm,3.6877551mm,7.7469388mm,10.977551mm,1.6054422mm,3.8809524mm,6.0408163mm,22.44898mm,1.2857143mm,-9.2611438,-10.156385,14.492598,605.00012
130,18.394558mm,5.2530612mm,3.2897959mm,21.511565mm,1.0748299mm,3.6190476mm,11.210884mm,18.77551mm,0.86394558mm,-12.975877,-10.375223,-4.9823423,60.88799
131,23.07483mm,4.9346939mm,3.8557823mm,17.408844mm,1.9319728mm,3.9285714mm,10.340136mm,15.646259mm,0.5170068mm,-21.514718,2.2116199,-2.0522539,422.96738
132,8.2721088mm,4.3244898mm,4.2802721mm,18.85034mm,1.9183673mm,3.0238095mm,5.0612245mm,29.115646mm,1.3129252mm,-8.546624,-5.4412822,-9.1021642,23.980063
133,19.265306mm,4.0591837mm,3.3251701mm,22.509524mm,1.6462585mm,2.1190476mm,6.5306122mm,14.965986mm,1.4421769mm,-12.674981,-12.289643,-9.4032273,32.561548
134,13.387755mm,3.2367347mm,2.9360544mm,19.182993mm,2.9659864mm,3.9761905mm,8.3809524mm,11.156463mm,0.97278912mm,-14.471517,-7.644097,-1.9911166,125.51606
135,11.428571mm,3.7142857mm,3.1129252mm,11.531973mm,1.5782313mm,5.2380952mm,9.0340136mm,14.14966mm,0.89115646mm,-14.247429,-3.1867995,-5.7850413,116.7108
136,23.183673mm,2.7857143mm,5.8367347mm,18.628571mm,2.2993197mm,3.2142857mm,5.1156463mm,24.489796mm,1.4829932mm,-22.61152,14.067686,3.0952131,994.45768
137,23.727891mm,3.422449mm,5.0231293mm,10.534014mm,2.5714286mm,4.6428571mm,10.013605mm,15.37415mm,0.76190476mm,-20.131543,4.2368851,-2.7112041,428.25288
138,8.4897959mm,2.122449mm,7.2163265mm,18.295918mm,2.2312925mm,3.7619048mm,10.666667mm,18.503401mm,1.1360544mm,-16.301791,-5.8330254,-9.5169646,104.12031
139,15.129252mm,2.8918367mm,2.6530612mm,9.092517mm,2mm,2.9761905mm,7.8911565mm,21.360544mm,0.53061224mm,-11.04014,-11.59837,2.7756402,179.53971
